1984, George Orwell, 1949
Brave New World, Aldous Huxley, 1932
Fahrenheit 451, Ray Bradbury, 1953
The Grapes of Wrath, John Steinbeck, 1939
Of Mice and Men, John Steinbeck, 1937
The Old Man and the Sea, Ernest Hemingway, 1952
Animal Farm, George Orwell, 1945
Lord of the Flies, William Golding, 1954
The Scarlet Letter, Nathaniel Hawthorne, 1850
Moby-Dick, Herman Melville, 1851
Pride and Prejudice, Jane Austen, 1813
Jane Eyre, Charlotte Brontë, 1847
Wuthering Heights, Emily Brontë, 1847
Frankenstein, Mary Shelley, 1818
Dracula, Bram Stoker, 1897
The Odyssey, Homer, 800 BC
The Iliad, Homer, 750 BC
Crime and Punishment, Fyodor Dostoevsky, 1866
The Brothers Karamazov, Fyodor Dostoevsky, 1880
War and Peace, Leo Tolstoy, 1869
